Star,30000,Sol,0,0,0,1,1,1,G2 V,,Sol
Multiple,30141,G 266-089,11.35466885,4.760558169,-98.55178757,0.5,,,,,99.31790499
Star,30141,G 266-089 A,11.35466885,4.760558169,-98.55178757,0.5,,,M4 VI?,,99.31790499
Star,30141,G 266-089 B,11.35466885,4.760558169,-98.55178757,0.5,,,M4 VI?,,99.31790499
Star,30143,SIPS 1529-2907,101.8310407,-37.51752656,44.36158653,0.5,,,M6.5 V,,117.2393961
Star,30144,LHS 158,-12.4376027,-60.40663187,-115.3221372,0.5,,,M VI,,130.7778669
Star,30145,LHS 323,47.74844531,-106.9441917,76.77922898,0.5,,,M4 V,,140.0429369
Star,30146,LTT 5066,80.95665796,-102.4551982,75.96761542,0.5,,,M3 V,,151.0699398
Star,30147,LHS 284,-20.08469412,-121.8806465,92.44346756,0.5,,,M4 V,,154.2857143
Star,30148,LHS 382,117.5857721,-43.63188592,95.50207901,0.5,,,K V?,,157.6413726
Star,30149,LHS 326,29.90066798,-80.61814073,134.8855508,0.5,,,M3 VI,,159.9607651
Star,30150,LHS 164,-44.95867301,-68.68921664,-149.1262596,0.5,,,M V?,,170.2296451
Star,30151,LHS 318,-31.05309646,-19.40875915,169.9589738,0.5,,,M2 VI,,173.8592751
Star,30152,2MASS 1207-3932,65.64928371,-148.9148243,67.55452621,0.5,,,M8 V,,176.2074554
Star,30153,LHS 521,87.37538319,29.73019086,-150.6623701,0.5,,,M0.5 VI,,176.6847237
Star,30154,LHS 3045,161.9601062,-74.27736076,71.44893096,0.5,,,K VI?,,191.9717481
Star,30155,LHS 347,20.66496313,-5.040790796,193.9086004,0.5,,,K2 VI,,195.0717703
Star,30156,LSR 0627+0616,-180.3173165,-82.60711,-8.360678577,0.5,,,M1.5 VI,,198.5149117
Star,30157,LHS 518,100.2023565,55.45678665,-169.8750742,0.5,,,M1 VI,,204.8743719
Star,30158,SCR 1107-4135,47.2101797,-205.2799524,65.29676032,0.5,,,M0.5 VI,,220.5273834
Star,30159,SCR 1916-3638,206.5895915,4.796042239,-77.43317144,0.5,,,M3 VI,,220.67659
Star,30160,LHS 125,27.98048101,-41.53004259,-228.2093684,0.5,,,M V?,,233.6389685
Star,30161,LHS 3620,183.9932301,60.28211883,-163.2112005,0.5,,,M2 VI,,253.2298137
Star,30162,LHS 327,103.4653314,-216.4637816,187.1060916,0.5,,,K4 VI,,304.2537313
Star,30163,LHS 3732,245.476164,-30.535386,-302.9058175,0.5,,,M VI?,,391.0791367
Star,30164,LHS 2734 A,430.4300202,-456.2835708,540.2006247,0.5,,,K7 VI/M1 VI,,827.8172589
Multiple,30165,Gliese 2130,47.30010879,-2.179436361,-1.451952697,,,,,,47.37254902
Star,30165,Gliese 2130 A,47.30010879,-2.179436361,-1.451952697,0.2,,,M1.5 V,,47.37254902
Star,30165,Gliese 2130 BC,47.30010879,-2.179436361,-1.451952697,0.2,,,M2.5 V,,47.37254902
